account_id,customer_id,product,status,open_date
A0001,C0001,card,active,2025-01-01
A0002,C0002,ach,active,2025-01-01
A0003,C0003,wallet,active,2025-01-01
A0004,C0004,wallet,active,2025-01-01
A0005,C0005,payout,active,2025-01-01
A0006,C0006,card,active,2025-01-01
A0007,C0007,payout,active,2025-01-01
A0008,C0008,wallet,active,2025-01-01
A0009,C0009,card,active,2025-01-01
A0010,C0010,wallet,active,2025-01-01
A0011,C0011,ach,active,2025-01-01
A0012,C0012,wallet,active,2025-01-01
A0013,C0013,wallet,active,2025-01-01
A0014,C0014,payout,active,2025-01-01
A0015,C0015,ach,active,2025-01-01
A0016,C0016,card,active,2025-01-01
A0017,C0017,card,active,2025-01-01
A0018,C0018,ach,active,2025-01-01
A0019,C0019,card,active,2025-01-01
A0020,C0020,wallet,active,2025-01-01
A0021,C0021,payout,active,2025-01-01
A0022,C0022,merchant_processing,active,2025-01-01
A0023,C0023,merchant_processing,active,2025-01-01
A0024,C0024,card,active,2025-01-01
A0025,C0025,wallet,active,2025-01-01
A0026,C0026,payout,active,2025-01-01
A0027,C0027,ach,active,2025-01-01
A0028,C0028,wallet,active,2025-01-01
A0029,C0029,ach,active,2025-01-01
A0030,C0030,merchant_processing,active,2025-01-01
A0031,C0031,card,active,2025-01-01
A0032,C0032,merchant_processing,active,2025-01-01
A0033,C0033,merchant_processing,active,2025-01-01
A0034,C0034,wallet,active,2025-01-01
A0035,C0035,payout,active,2025-01-01
A0036,C0036,ach,active,2025-01-01
A0037,C0037,card,active,2025-01-01
A0038,C0038,wallet,active,2025-01-01
A0039,C0039,payout,active,2025-01-01
A0040,C0040,ach,active,2025-01-01
A0041,C0041,wallet,active,2025-01-01
A0042,C0042,card,active,2025-01-01
A0043,C0043,wallet,active,2025-01-01
A0044,C0044,wallet,active,2025-01-01
A0045,C0045,card,active,2025-01-01
A0046,C0046,ach,active,2025-01-01
A0047,C0047,payout,active,2025-01-01
A0048,C0048,ach,active,2025-01-01
A0049,C0049,merchant_processing,active,2025-01-01
A0050,C0050,card,active,2025-01-01
A0051,C0051,card,active,2025-01-01
A0052,C0052,card,active,2025-01-01
A0053,C0053,card,active,2025-01-01
A0054,C0054,payout,active,2025-01-01
A0055,C0055,ach,active,2025-01-01
A0056,C0056,wallet,active,2025-01-01
A0057,C0057,card,active,2025-01-01
A0058,C0058,merchant_processing,active,2025-01-01
A0059,C0059,wallet,active,2025-01-01
A0060,C0060,ach,active,2025-01-01
A0061,C0061,merchant_processing,active,2025-01-01
A0062,C0062,merchant_processing,active,2025-01-01
A0063,C0063,payout,active,2025-01-01
A0064,C0064,card,active,2025-01-01
A0065,C0065,card,active,2025-01-01
A0066,C0066,ach,active,2025-01-01
A0067,C0067,payout,active,2025-01-01
A0068,C0068,ach,active,2025-01-01
A0069,C0069,merchant_processing,active,2025-01-01
A0070,C0070,ach,active,2025-01-01
A0071,C0071,card,active,2025-01-01
A0072,C0072,merchant_processing,active,2025-01-01
A0073,C0073,card,active,2025-01-01
A0074,C0074,payout,active,2025-01-01
A0075,C0075,ach,active,2025-01-01
A0076,C0076,card,active,2025-01-01
A0077,C0077,ach,active,2025-01-01
A0078,C0078,ach,active,2025-01-01
A0079,C0079,ach,active,2025-01-01
A0080,C0080,wallet,active,2025-01-01
A0081,C0081,wallet,active,2025-01-01
A0082,C0082,card,active,2025-01-01
A0083,C0083,card,active,2025-01-01
A0084,C0084,card,active,2025-01-01
A0085,C0085,wallet,active,2025-01-01
A0086,C0086,ach,active,2025-01-01
A0087,C0087,wallet,active,2025-01-01
A0088,C0088,merchant_processing,active,2025-01-01
A0089,C0089,merchant_processing,active,2025-01-01
A0090,C0090,wallet,active,2025-01-01
A0091,C0091,card,active,2025-01-01
A0092,C0092,wallet,active,2025-01-01
A0093,C0093,ach,active,2025-01-01
A0094,C0094,wallet,active,2025-01-01
A0095,C0095,ach,active,2025-01-01
A0096,C0096,card,active,2025-01-01
A0097,C0097,payout,active,2025-01-01
A0098,C0098,wallet,active,2025-01-01
A0099,C0099,card,active,2025-01-01
A0100,C0100,merchant_processing,active,2025-01-01
A0101,C0101,payout,active,2025-01-01
A0102,C0102,card,active,2025-01-01
A0103,C0103,ach,active,2025-01-01
A0104,C0104,card,active,2025-01-01
A0105,C0105,ach,active,2025-01-01
A0106,C0106,payout,active,2025-01-01
A0107,C0107,ach,active,2025-01-01
A0108,C0108,card,active,2025-01-01
A0109,C0109,wallet,active,2025-01-01
A0110,C0110,ach,active,2025-01-01
A0111,C0111,merchant_processing,active,2025-01-01
A0112,C0112,card,active,2025-01-01
A0113,C0113,ach,active,2025-01-01
A0114,C0114,payout,active,2025-01-01
A0115,C0115,merchant_processing,active,2025-01-01
A0116,C0116,ach,active,2025-01-01
A0117,C0117,card,active,2025-01-01
A0118,C0118,card,active,2025-01-01
A0119,C0119,card,active,2025-01-01
A0120,C0120,ach,active,2025-01-01
