customer_id,customer_type,jurisdiction,pep_flag,adverse_media_flag,expected_monthly_volume,account_age_days,kyc_quality_score,external_geo_risk,segment_id
C0001,merchant,US,False,False,10000,117,0.981,0.659,merchant_payout
C0002,consumer,US,False,True,75000,774,0.924,0.405,consumer_wallet
C0003,merchant,US,False,False,5000,910,0.751,0.827,cross_border
C0004,merchant,US,False,False,25000,189,0.873,0.646,cross_border
C0005,consumer,US,False,False,25000,160,0.796,0.232,merchant_payout
C0006,consumer,MX,False,False,75000,999,0.918,0.36,consumer_wallet
C0007,merchant,US,False,False,75000,945,0.866,0.614,merchant_payout
C0008,consumer,CA,False,False,25000,803,0.794,0.502,merchant_payout
C0009,merchant,CA,False,False,75000,41,0.782,0.222,smb_card
C0010,corporate,US,False,False,150000,355,0.865,0.496,merchant_payout
C0011,merchant,US,False,False,10000,32,0.653,0.628,smb_card
C0012,consumer,US,False,False,25000,538,0.761,0.291,smb_card
C0013,consumer,US,False,True,10000,1090,0.879,0.263,cross_border
C0014,merchant,GB,False,False,5000,120,0.954,0.415,consumer_wallet
C0015,consumer,CA,False,False,5000,911,0.886,0.396,smb_card
C0016,merchant,CA,False,False,75000,54,0.803,0.314,consumer_wallet
C0017,consumer,CA,False,True,150000,699,0.748,0.523,consumer_wallet
C0018,corporate,US,False,False,10000,586,0.802,0.8,smb_card
C0019,consumer,US,False,False,150000,529,0.628,0.711,cross_border
C0020,consumer,CA,False,False,5000,341,0.864,0.632,merchant_payout
C0021,consumer,BR,False,False,5000,668,0.757,0.714,merchant_payout
C0022,consumer,BR,False,False,150000,310,0.966,0.182,consumer_wallet
C0023,consumer,BR,False,False,150000,1069,0.951,0.465,consumer_wallet
C0024,merchant,CA,False,False,75000,897,0.717,0.799,consumer_wallet
C0025,consumer,MX,False,False,10000,721,0.944,0.207,consumer_wallet
C0026,merchant,BR,False,False,150000,21,0.705,0.155,merchant_payout
C0027,consumer,US,False,False,25000,243,0.918,0.622,merchant_payout
C0028,consumer,US,False,False,150000,364,0.801,0.58,cross_border
C0029,consumer,BR,False,False,5000,762,0.659,0.162,smb_card
C0030,corporate,CA,False,False,25000,563,0.91,0.064,consumer_wallet
C0031,merchant,MX,False,False,75000,729,0.941,0.532,smb_card
C0032,consumer,US,False,False,10000,547,0.712,0.239,merchant_payout
C0033,merchant,US,False,False,10000,179,0.925,0.298,consumer_wallet
C0034,corporate,US,False,False,25000,143,0.628,0.094,consumer_wallet
C0035,consumer,CA,False,False,150000,384,0.807,0.75,cross_border
C0036,consumer,US,False,False,75000,687,0.774,0.089,consumer_wallet
C0037,consumer,US,False,False,25000,1110,0.657,0.725,cross_border
C0038,corporate,MX,False,False,75000,935,0.67,0.479,smb_card
C0039,corporate,US,False,False,10000,323,0.672,0.432,smb_card
C0040,consumer,US,False,False,25000,458,0.874,0.288,cross_border
C0041,corporate,US,False,False,150000,1019,0.861,0.694,smb_card
C0042,merchant,US,False,False,25000,835,0.938,0.156,smb_card
C0043,consumer,GB,False,True,75000,169,0.975,0.691,smb_card
C0044,merchant,MX,True,False,75000,710,0.655,0.543,consumer_wallet
C0045,merchant,CA,False,False,75000,917,0.916,0.444,smb_card
C0046,corporate,US,False,False,25000,791,0.775,0.669,merchant_payout
C0047,consumer,MX,False,False,75000,440,0.736,0.176,consumer_wallet
C0048,corporate,US,False,False,5000,665,0.966,0.674,smb_card
C0049,consumer,BR,False,True,25000,146,0.935,0.56,consumer_wallet
C0050,merchant,GB,False,False,75000,991,0.729,0.417,smb_card
C0051,consumer,BR,False,False,10000,1196,0.945,0.277,merchant_payout
