transaction_id,account_id,customer_id,timestamp_utc,direction,amount,currency,counterparty_id,counterparty_country,rail,status,device_id
T001058,A0032,C0032,2025-10-01T00:00:00+00:00,outbound,953.99,USD,CP0001,US,card,chargeback,D0010
T001124,A0034,C0034,2025-10-01T00:00:00+00:00,outbound,2343.33,USD,CP0122,US,ach,pending,D0014
T001967,A0060,C0060,2025-10-01T00:00:00+00:00,outbound,1245.54,USD,CP0096,CA,p2p,reversed,D0051
T000648,A0019,C0019,2025-10-01T01:00:00+00:00,outbound,671.91,USD,CP0039,MX,p2p,settled,D0029
T003593,A0113,C0113,2025-10-01T02:00:00+00:00,outbound,384.33,GBP,CP0043,US,card,settled,D0017
T000584,A0017,C0017,2025-10-01T02:00:00+00:00,outbound,703.85,USD,CP0108,GB,card,settled,D0022
T002267,A0071,C0071,2025-10-01T03:00:00+00:00,outbound,1415.45,USD,CP0138,GB,ach,reversed,D0052
T000493,A0014,C0014,2025-10-01T03:00:00+00:00,outbound,316.51,CAD,CP0089,MX,wire,settled,D0037
T000512,A0014,C0014,2025-10-01T04:00:00+00:00,outbound,1421.46,GBP,CP0062,US,ach,settled,D0053
T000135,A0004,C0004,2025-10-01T04:00:00+00:00,inbound,542.65,USD,CP0023,MX,ach,failed,D0016
T001338,A0040,C0040,2025-10-01T05:00:00+00:00,outbound,875.61,USD,CP0011,GB,card,failed,D0001
T003217,A0102,C0102,2025-10-01T06:00:00+00:00,inbound,3421.23,USD,CP0141,MX,ach,settled,D0023
T003170,A0101,C0101,2025-10-01T06:00:00+00:00,outbound,632.75,USD,CP0015,CA,p2p,settled,D0010
T003675,A0116,C0116,2025-10-01T07:00:00+00:00,inbound,818.53,GBP,CP0013,US,wire,reversed,D0049
T000197,A0005,C0005,2025-10-01T07:00:00+00:00,inbound,674.69,USD,CP0082,US,card,reversed,D0022
T000390,A0011,C0011,2025-10-01T08:00:00+00:00,outbound,1327.28,CAD,CP0041,US,card,settled,D0011
T002631,A0083,C0083,2025-10-01T08:00:00+00:00,inbound,1069.24,USD,CP0098,PA,card,settled,D0009
T000264,A0007,C0007,2025-10-01T08:00:00+00:00,outbound,102.85,USD,CP0020,MX,ach,pending,D0049
T002352,A0074,C0074,2025-10-01T09:00:00+00:00,outbound,1475.23,USD,CP0103,GB,ach,settled,D0027
T001848,A0056,C0056,2025-10-01T10:00:00+00:00,inbound,204.91,USD,CP0036,US,card,reversed,D0022
T001272,A0038,C0038,2025-10-01T11:00:00+00:00,inbound,1593.16,GBP,CP0017,US,payout,settled,D0040
T003225,A0102,C0102,2025-10-01T15:00:00+00:00,inbound,1283.39,USD,CP0037,PA,card,settled,D0013
T000959,A0029,C0029,2025-10-01T17:00:00+00:00,outbound,750.0,USD,CP0123,US,ach,settled,D0046
T001448,A0043,C0043,2025-10-01T17:00:00+00:00,outbound,4463.89,USD,CP0126,US,card,settled,D0050
T001568,A0047,C0047,2025-10-01T18:00:00+00:00,outbound,2125.08,USD,CP0044,GB,p2p,settled,D0014
T002424,A0075,C0075,2025-10-01T18:00:00+00:00,outbound,3073.38,USD,CP0086,GB,payout,settled,D0021
T001896,A0057,C0057,2025-10-01T19:00:00+00:00,inbound,1358.02,USD,CP0018,CA,card,settled,D0029
T001254,A0037,C0037,2025-10-01T21:00:00+00:00,outbound,1059.76,CAD,CP-HIGH-RISK-HUB,US,ach,settled,D0032
T000214,A0005,C0005,2025-10-01T21:00:00+00:00,outbound,2009.15,USD,CP0057,US,p2p,refund,D0010
T002081,A0064,C0064,2025-10-01T21:00:00+00:00,inbound,862.16,USD,CP0093,US,wire,pending,D0052
T003314,A0106,C0106,2025-10-01T23:00:00+00:00,inbound,1994.37,USD,CP0121,US,payout,settled,D0005
T003213,A0102,C0102,2025-10-02T03:00:00+00:00,inbound,2096.67,USD,CP0111,US,p2p,settled,D0039
T003536,A0111,C0111,2025-10-02T03:00:00+00:00,outbound,1808.34,USD,CP0070,CA,card,settled,D0041
T001969,A0060,C0060,2025-10-02T04:00:00+00:00,inbound,3714.13,USD,CP0038,GB,ach,pending,D0047
T002598,A0082,C0082,2025-10-02T05:00:00+00:00,outbound,550.85,USD,CP0149,CA,card,settled,D0003
T001072,A0032,C0032,2025-10-02T05:00:00+00:00,outbound,188.67,USD,CP0101,MX,ach,settled,D0039
T002045,A0063,C0063,2025-10-02T07:00:00+00:00,inbound,107.95,CAD,CP0019,BR,payout,settled,D0053
T001892,A0057,C0057,2025-10-02T08:00:00+00:00,inbound,1095.93,USD,CP0122,GB,ach,settled,D0032
T002052,A0063,C0063,2025-10-02T10:00:00+00:00,inbound,1403.16,USD,CP-HIGH-RISK-HUB,BR,p2p,settled,D0042
T001575,A0047,C0047,2025-10-02T14:00:00+00:00,inbound,1356.27,USD,CP0081,US,p2p,settled,D0003
T001378,A0041,C0041,2025-10-02T14:00:00+00:00,outbound,632.26,GBP,CP0083,US,wire,settled,D0031
T002936,A0093,C0093,2025-10-02T15:00:00+00:00,outbound,997.02,CAD,CP0095,PA,payout,settled,D0054
T002380,A0074,C0074,2025-10-02T16:00:00+00:00,inbound,661.16,USD,CP0130,US,ach,settled,D0005
T003622,A0114,C0114,2025-10-02T18:00:00+00:00,inbound,948.63,USD,CP0054,MX,ach,settled,D0049
T001056,A0032,C0032,2025-10-02T18:00:00+00:00,inbound,1012.63,USD,CP0042,US,ach,chargeback,D0008
T001508,A0045,C0045,2025-10-02T19:00:00+00:00,inbound,613.63,CAD,CP0139,US,card,settled,D0029
T003452,A0110,C0110,2025-10-02T20:00:00+00:00,outbound,278.9,CAD,CP0090,MX,ach,settled,D0051
T002677,A0085,C0085,2025-10-02T21:00:00+00:00,outbound,1617.7,GBP,CP0023,US,p2p,settled,D0040
T001066,A0032,C0032,2025-10-02T22:00:00+00:00,outbound,752.61,GBP,CP0144,US,ach,settled,D0029
T001860,A0056,C0056,2025-10-02T22:00:00+00:00,outbound,751.78,USD,CP0002,GB,card,refund,D0010
T000242,A0006,C0006,2025-10-02T23:00:00+00:00,outbound,3786.76,USD,CP0143,US,payout,settled,D0027
T002985,A0094,C0094,2025-10-02T23:00:00+00:00,inbound,1906.79,USD,CP0052,CA,card,settled,D0041
T003758,A0118,C0118,2025-10-03T01:00:00+00:00,inbound,337.74,USD,CP0121,US,wire,settled,D0052
T001523,A0045,C0045,2025-10-03T02:00:00+00:00,outbound,3052.0,USD,CP0065,US,card,settled,D0005
T003640,A0115,C0115,2025-10-03T03:00:00+00:00,inbound,1444.66,CAD,CP0056,US,payout,settled,D0010
T001751,A0053,C0053,2025-10-03T03:00:00+00:00,outbound,1414.53,USD,CP0087,US,ach,settled,D0022
T001241,A0037,C0037,2025-10-03T04:00:00+00:00,outbound,1679.4,USD,CP0012,US,p2p,settled,D0002
T002436,A0076,C0076,2025-10-03T05:00:00+00:00,outbound,2298.9,USD,CP0117,MX,card,settled,D0023
T003803,A0120,C0120,2025-10-03T06:00:00+00:00,inbound,658.25,GBP,CP0041,US,ach,settled,D0024
T003444,A0109,C0109,2025-10-03T06:00:00+00:00,inbound,1344.37,GBP,CP0027,GB,card,settled,D0051
T000054,A0001,C0001,2025-10-03T10:00:00+00:00,outbound,4944.17,CAD,CP0085,US,card,settled,D0004
T000477,A0014,C0014,2025-10-03T10:00:00+00:00,outbound,2207.57,USD,CP0048,US,p2p,settled,D0024
T002995,A0094,C0094,2025-10-03T10:00:00+00:00,inbound,229.61,USD,CP0019,US,card,settled,D0041
T000596,A0018,C0018,2025-10-03T11:00:00+00:00,outbound,1033.39,USD,CP0135,US,payout,settled,D0036
