alert_id,customer_id,typology_family,observation_end,rule_ids,max_rule_severity,evidence_count,rule_result_ids,evidence_transaction_ids,alert_version
ALERT-9609244BFDAB,C0001,high_risk_geography,2026-03-31T23:59:59+00:00,TM-GEO-001,3,4,RR-D1232A9776A6,T000023;T000026;T000034;T000038,ALERT-CONSOLIDATION-1.0
ALERT-22FABEC00DF2,C0001,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-97F8B8EE2A97,T000023;T000026;T000043;T000049;T000055,ALERT-CONSOLIDATION-1.0
ALERT-622A41697F18,C0003,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-C4C6D42A8800,T000101;T000107;T000118;T000119,ALERT-CONSOLIDATION-1.0
ALERT-8B4E3B58BA87,C0004,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-10FB3467B58E,T000152;T000155;T000162,ALERT-CONSOLIDATION-1.0
ALERT-15EA0CF50DD6,C0005,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-5472C650EA2B,T000167;T000169;T000177;T000221,ALERT-CONSOLIDATION-1.0
ALERT-FFD6CD81FA2B,C0006,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-4B72C555C4D7,T000232;T000236,ALERT-CONSOLIDATION-1.0
ALERT-4886AC87D47D,C0009,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-6B5CE51EC5D4,T000312;T000315;T000320,ALERT-CONSOLIDATION-1.0
ALERT-A0005293DE5A,C0010,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-6C4AAC6165A3,T000338;T000341,ALERT-CONSOLIDATION-1.0
ALERT-C62EB6D295A7,C0011,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-139878DA6D7F,T000358;T000359,ALERT-CONSOLIDATION-1.0
ALERT-A1C61ACAAFF5,C0012,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,7,RR-FC92D7E9F434,T000400;T000403;T000415;T000419;T000420;T000430;T000433,ALERT-CONSOLIDATION-1.0
ALERT-866EA3B112C3,C0013,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-ED36FCE040BC,T000444;T000470;T000473,ALERT-CONSOLIDATION-1.0
ALERT-01D4A422427B,C0015,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-C017D84758A3,T000516;T000523;T000539,ALERT-CONSOLIDATION-1.0
ALERT-18BF4C525E4F,C0019,high_risk_geography,2026-03-31T23:59:59+00:00,TM-GEO-001,3,5,RR-6654E347E9C2,T000615;T000640;T000651;T000658;T000671,ALERT-CONSOLIDATION-1.0
ALERT-8D972EF87091,C0019,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-8D53A2F0C9EA,T000638;T000651;T000658;T000666;T000671,ALERT-CONSOLIDATION-1.0
ALERT-F1DE418B25EE,C0021,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-BFB905C1A5C6,T000712;T000716;T000719;T000736,ALERT-CONSOLIDATION-1.0
ALERT-57BB6463105F,C0022,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-EB9530989739,T000750;T000751,ALERT-CONSOLIDATION-1.0
ALERT-85DE7499E1FF,C0023,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-294C40DCC403,T000777;T000783;T000790,ALERT-CONSOLIDATION-1.0
ALERT-14624173644C,C0024,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-25696C561D2E,T000815;T000828,ALERT-CONSOLIDATION-1.0
ALERT-CB4B3E6303F0,C0026,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-68A6100C803B,T000859;T000860;T000864,ALERT-CONSOLIDATION-1.0
ALERT-B23D4EA37B1D,C0027,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,6,RR-C2A63D22C77D,T000890;T000896;T000901;T000915;T000923;T000924,ALERT-CONSOLIDATION-1.0
ALERT-85D20FB7499D,C0027,pass_through,2026-03-31T23:59:59+00:00,TM-FLOW-001,4,10,RR-579D737CCCEC,T000870;T000889;T000890;T000896;T000898;T000900;T000901;T000915;T000923;T000924,ALERT-CONSOLIDATION-1.0
ALERT-40F6A967AF34,C0028,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-1F420DE07C87,T000929;T000931;T000937;T000952,ALERT-CONSOLIDATION-1.0
ALERT-BFB469438B3E,C0029,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-D3D318B5F077,T000975;T000976,ALERT-CONSOLIDATION-1.0
ALERT-BC654D1D4F2E,C0031,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-93B22712BDA0,T001022;T001023;T001037,ALERT-CONSOLIDATION-1.0
ALERT-178C603CC0EB,C0032,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-854ADEF729EC,T001050;T001075,ALERT-CONSOLIDATION-1.0
ALERT-CDB18FF482E5,C0033,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-985C20B07330,T001095;T001097;T001099;T001104,ALERT-CONSOLIDATION-1.0
ALERT-66ED0AA42592,C0034,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-558157ADF17F,T001111;T001112,ALERT-CONSOLIDATION-1.0
ALERT-146C88DAE065,C0035,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-C88330C1B2DA,T001147;T001154;T001156;T001160,ALERT-CONSOLIDATION-1.0
ALERT-2758E6ADD8FE,C0036,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-2CBBE5517E70,T001186;T001197,ALERT-CONSOLIDATION-1.0
ALERT-D1612DFADB32,C0037,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-1B591F816EAA,T001220;T001224;T001247;T001259,ALERT-CONSOLIDATION-1.0
ALERT-A1B7FD73D7FB,C0038,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-3FFF7E986DAF,T001275;T001282,ALERT-CONSOLIDATION-1.0
ALERT-7CA855002AAD,C0040,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-2041899EDB15,T001317;T001335;T001336;T001339,ALERT-CONSOLIDATION-1.0
ALERT-0233D353AF0B,C0042,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-9880B0ED5EE6,T001399;T001402;T001410,ALERT-CONSOLIDATION-1.0
ALERT-2804FA28E781,C0043,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-3A961B0116A0,T001434;T001437;T001442,ALERT-CONSOLIDATION-1.0
ALERT-C9D87926A732,C0044,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-3569A5EC9E6C,T001468;T001488,ALERT-CONSOLIDATION-1.0
ALERT-C53E1C6839FB,C0045,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-0D02E471B50E,T001511;T001515;T001517;T001531,ALERT-CONSOLIDATION-1.0
ALERT-2187514855C8,C0046,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-A7C1A7F67A75,T001541;T001549;T001551;T001558,ALERT-CONSOLIDATION-1.0
ALERT-E7402D4177CA,C0047,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-0099573C9435,T001572;T001574;T001579,ALERT-CONSOLIDATION-1.0
ALERT-AF989A191F42,C0048,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-7599CA12B58F,T001595;T001623;T001626,ALERT-CONSOLIDATION-1.0
ALERT-72403FD5CCDD,C0051,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-C8E7B88DD20C,T001698;T001711,ALERT-CONSOLIDATION-1.0
ALERT-6F5059533727,C0052,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-1673B6870AD9,T001718;T001720;T001730,ALERT-CONSOLIDATION-1.0
ALERT-8E86B414A6DC,C0053,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-CBB4B6C5619F,T001737;T001743;T001760;T001768,ALERT-CONSOLIDATION-1.0
ALERT-F7213FB4569A,C0054,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,8,RR-D9F22EE85ACB,T001775;T001783;T001786;T001788;T001789;T001793;T001799;T001804,ALERT-CONSOLIDATION-1.0
ALERT-022F8E8B5F4E,C0055,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-5FE119BDAD34,T001810;T001819,ALERT-CONSOLIDATION-1.0
ALERT-86DE8605F69B,C0056,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-4F720DC8A5F6,T001833;T001873,ALERT-CONSOLIDATION-1.0
ALERT-3E0ECF182412,C0058,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-5C712C492FA0,T001901;T001904;T001921;T001922;T001924,ALERT-CONSOLIDATION-1.0
ALERT-1FC2FB8E1779,C0059,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-72D186097776,T001932;T001938;T001940,ALERT-CONSOLIDATION-1.0
ALERT-61F09CF8DE77,C0060,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-9AE63B06ECD8,T001954;T001958,ALERT-CONSOLIDATION-1.0
ALERT-299408AB06AA,C0062,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-47DC7F8CB338,T001992;T002009,ALERT-CONSOLIDATION-1.0
ALERT-C63783D23823,C0063,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,6,RR-19D9FA5BCE88,T002040;T002051;T002054;T002057;T002060;T002062,ALERT-CONSOLIDATION-1.0
ALERT-7338E3E93DE7,C0064,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-0ED00F2B193A,T002080;T002091,ALERT-CONSOLIDATION-1.0
ALERT-A2B541234CB5,C0065,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-0E63B6994D71,T002103;T002112;T002120;T002133;T002149,ALERT-CONSOLIDATION-1.0
ALERT-12A07E329C5E,C0065,pass_through,2026-03-31T23:59:59+00:00,TM-FLOW-001,4,9,RR-60AD8618EABE,T002103;T002112;T002118;T002120;T002133;T002134;T002145;T002149;T002150,ALERT-CONSOLIDATION-1.0
ALERT-B05D0985BF35,C0066,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-BCB69D5CE67A,T002157;T002159;T002166;T002169,ALERT-CONSOLIDATION-1.0
