customer_id,behavioral_crr_score,behavioral_crr_tier,behavioral_reason_codes,crr_version
C0001,73.0,medium,activity_above_expected;high_risk_geo_activity,CRR-BEH-1.0
C0002,47.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0003,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0004,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0005,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0006,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0007,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0008,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0009,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0010,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0011,41.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0012,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0013,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0014,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0015,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0016,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0017,61.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0018,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0019,69.0,medium,high_risk_geo_activity,CRR-BEH-1.0
C0020,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0021,49.0,medium,activity_above_expected,CRR-BEH-1.0
C0022,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0023,37.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0024,69.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0025,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0026,51.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0027,31.0,low,activity_above_expected,CRR-BEH-1.0
C0028,37.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0029,45.0,medium,activity_above_expected,CRR-BEH-1.0
C0030,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0031,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0032,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0033,39.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0034,41.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0035,43.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0036,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0037,59.0,medium,high_risk_geo_activity,CRR-BEH-1.0
C0038,63.0,medium,high_risk_geo_activity,CRR-BEH-1.0
C0039,41.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0040,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0041,55.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0042,27.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0043,65.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0044,81.0,high,no_behavioral_elevation,CRR-BEH-1.0
C0045,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0046,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0047,39.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0048,61.0,medium,activity_above_expected,CRR-BEH-1.0
C0049,37.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0050,51.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0051,15.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0052,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0053,63.0,medium,high_risk_geo_activity,CRR-BEH-1.0
C0054,61.0,medium,activity_above_expected,CRR-BEH-1.0
C0055,39.0,low,high_risk_geo_activity,CRR-BEH-1.0
C0056,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0057,29.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0058,69.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0059,49.0,medium,no_behavioral_elevation,CRR-BEH-1.0
C0060,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
C0061,25.0,low,no_behavioral_elevation,CRR-BEH-1.0
