customer_id,gross_amount_7d,net_amount_7d,txn_count_7d,unique_counterparties_7d,high_risk_geo_txn_count_7d,round_amount_count_7d,reversal_count_7d,inbound_amount_7d,outbound_amount_7d,flow_through_ratio_7d,gross_amount_30d,net_amount_30d,txn_count_30d,unique_counterparties_30d,high_risk_geo_txn_count_30d,round_amount_count_30d,reversal_count_30d,inbound_amount_30d,outbound_amount_30d,flow_through_ratio_30d,gross_amount_90d,net_amount_90d,txn_count_90d,unique_counterparties_90d,high_risk_geo_txn_count_90d,round_amount_count_90d,reversal_count_90d,inbound_amount_90d,outbound_amount_90d,flow_through_ratio_90d,as_of_timestamp,feature_version,risk_indicator_version
C0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24278.021399999998,24278.021399999998,9.0,9.0,4.0,0.0,0.0,17232.03,7045.9914,0.40888922547140416,65327.2573,57415.4773,26,25,8,0,2,43285.39,22041.867299999998,0.5092218713981784,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5646.91,-2376.8100000000004,3.0,3.0,0.0,0.0,2.0,4380.58,1266.33,0.28907815860000274,26213.5988,16947.8628,21,20,7,0,3,16044.336000000001,10169.2628,0.6338226025682833,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0003,1605.55,1605.55,1.0,1.0,0.0,0.0,0.0,0.0,1605.55,0.0,4077.43,4077.43,4.0,4.0,0.0,0.0,0.0,2471.88,1605.55,0.6495258669514701,17494.5228,15133.782799999999,16,15,6,0,1,8342.6404,9151.8824,1.0970007049566706,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0004,667.44,667.44,1.0,1.0,0.0,0.0,0.0,667.44,0.0,0.0,7748.27,4503.97,6.0,6.0,0.0,0.0,1.0,5565.38,2182.8900000000003,0.3922265865044256,19358.3786,14305.9182,17,16,4,0,2,10200.348600000001,9158.03,0.8978153942699566,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0005,3498.46,3498.46,2.0,2.0,0.0,0.0,0.0,1270.96,2227.5,1.7526121986529866,28003.6806,26410.5406,11.0,11.0,1.0,0.0,1.0,24714.5106,3289.17,0.13308659245714538,66306.4806,64713.3406,26,25,8,0,1,41136.3406,25170.14,0.6118711492776778,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.62,1944.62,2.0,2.0,0.0,0.0,0.0,1330.29,614.33,0.46180156206541434,9314.2526,9314.2526,10,10,1,0,0,3766.76,5547.4926,1.4727491531183297,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0007,909.87,909.87,1.0,1.0,0.0,0.0,0.0,909.87,0.0,0.0,2690.36,2690.36,2.0,2.0,0.0,0.0,0.0,909.87,1780.49,1.9568619692923166,11978.2682,8644.394199999999,12,12,2,0,2,4508.9182,7469.35,1.656572523316125,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0008,168.94,168.94,1.0,1.0,0.0,0.0,0.0,168.94,0.0,0.0,2863.7722,-151.77219999999994,3.0,3.0,1.0,0.0,1.0,168.94,2694.8322,5.0,14748.3588,11732.8144,11,11,5,0,1,5358.1866,9390.172199999999,1.7524907027314052,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0009,1373.32,1373.32,1.0,1.0,0.0,0.0,0.0,1373.32,0.0,0.0,6412.54,6412.54,3.0,3.0,0.0,0.0,0.0,6412.54,0.0,0.0,18586.6948,16928.7148,9,9,1,0,1,10244.0,8342.694800000001,0.8143981647793832,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
C0010,126.51740000000001,126.51740000000001,1.0,1.0,0.0,0.0,0.0,0.0,126.51740000000001,0.0,1436.8476,1436.8476,3.0,3.0,0.0,0.0,0.0,1310.3301999999999,126.51740000000001,0.09655383047723393,10320.8176,10320.8176,10,10,2,0,0,6716.8502,3603.9674,0.536556167353561,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0
