alert_id,customer_id,typology_family,observation_end,rule_ids,max_rule_severity,evidence_count,rule_result_ids,evidence_transaction_ids,alert_version,behavioral_crr_score,behavioral_crr_tier,behavioral_reason_codes,crr_version,gross_amount_7d,net_amount_7d,txn_count_7d,unique_counterparties_7d,high_risk_geo_txn_count_7d,round_amount_count_7d,reversal_count_7d,inbound_amount_7d,outbound_amount_7d,flow_through_ratio_7d,gross_amount_30d,net_amount_30d,txn_count_30d,unique_counterparties_30d,high_risk_geo_txn_count_30d,round_amount_count_30d,reversal_count_30d,inbound_amount_30d,outbound_amount_30d,flow_through_ratio_30d,gross_amount_90d,net_amount_90d,txn_count_90d,unique_counterparties_90d,high_risk_geo_txn_count_90d,round_amount_count_90d,reversal_count_90d,inbound_amount_90d,outbound_amount_90d,flow_through_ratio_90d,as_of_timestamp,feature_version,risk_indicator_version,confirmed_suspicious,sar_referral,qa_confirmed,outcome_date,label_maturity_days,label
ALERT-622A41697F18,C0003,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-C4C6D42A8800,T000101;T000107;T000118;T000119,ALERT-CONSOLIDATION-1.0,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0,1605.55,1605.55,1.0,1.0,0.0,0.0,0.0,0.0,1605.55,0.0,4077.43,4077.43,4.0,4.0,0.0,0.0,0.0,2471.88,1605.55,0.6495258669514701,17494.5228,15133.782799999999,16,15,6,0,1,8342.6404,9151.8824,1.0970007049566706,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-03,45,0
ALERT-8B4E3B58BA87,C0004,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-10FB3467B58E,T000152;T000155;T000162,ALERT-CONSOLIDATION-1.0,27.0,low,no_behavioral_elevation,CRR-BEH-1.0,667.44,667.44,1.0,1.0,0.0,0.0,0.0,667.44,0.0,0.0,7748.27,4503.97,6.0,6.0,0.0,0.0,1.0,5565.38,2182.8900000000003,0.3922265865044256,19358.3786,14305.9182,17,16,4,0,2,10200.348600000001,9158.03,0.8978153942699566,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-21,60,0
ALERT-15EA0CF50DD6,C0005,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-5472C650EA2B,T000167;T000169;T000177;T000221,ALERT-CONSOLIDATION-1.0,15.0,low,no_behavioral_elevation,CRR-BEH-1.0,3498.46,3498.46,2.0,2.0,0.0,0.0,0.0,1270.96,2227.5,1.7526121986529866,28003.6806,26410.5406,11.0,11.0,1.0,0.0,1.0,24714.5106,3289.17,0.13308659245714538,66306.4806,64713.3406,26,25,8,0,1,41136.3406,25170.14,0.6118711492776778,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,1,1,0,2026-04-29,45,1
ALERT-A0005293DE5A,C0010,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-6C4AAC6165A3,T000338;T000341,ALERT-CONSOLIDATION-1.0,37.0,low,no_behavioral_elevation,CRR-BEH-1.0,126.51740000000001,126.51740000000001,1.0,1.0,0.0,0.0,0.0,0.0,126.51740000000001,0.0,1436.8476,1436.8476,3.0,3.0,0.0,0.0,0.0,1310.3301999999999,126.51740000000001,0.09655383047723393,10320.8176,10320.8176,10,10,2,0,0,6716.8502,3603.9674,0.536556167353561,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-06,60,0
ALERT-C62EB6D295A7,C0011,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-139878DA6D7F,T000358;T000359,ALERT-CONSOLIDATION-1.0,41.0,low,no_behavioral_elevation,CRR-BEH-1.0,486.41,486.41,1.0,1.0,1.0,0.0,0.0,486.41,0.0,0.0,7179.4488,7179.4488,6.0,6.0,1.0,0.0,0.0,6057.779,1121.6698,0.18516188854033794,51818.6835,51818.6835,19,17,7,0,0,19796.1887,32022.4948,1.6176090905821685,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-24,30,0
ALERT-A1C61ACAAFF5,C0012,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,7,RR-FC92D7E9F434,T000400;T000403;T000415;T000419;T000420;T000430;T000433,ALERT-CONSOLIDATION-1.0,15.0,low,no_behavioral_elevation,CRR-BEH-1.0,3354.3599999999997,2150.52,3.0,3.0,1.0,0.0,1.0,2275.77,1078.59,0.4739450823237849,13925.599999999999,12721.76,11.0,11.0,2.0,0.0,1.0,5908.64,8016.96,1.356819843483441,28567.4428,27363.6028,24,22,4,0,1,16523.66,12043.7828,0.7288810590389782,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,1,2026-05-07,60,1
ALERT-18BF4C525E4F,C0019,high_risk_geography,2026-03-31T23:59:59+00:00,TM-GEO-001,3,5,RR-6654E347E9C2,T000615;T000640;T000651;T000658;T000671,ALERT-CONSOLIDATION-1.0,69.0,medium,high_risk_geo_activity,CRR-BEH-1.0,2982.3537,848.0425,2.0,2.0,1.0,0.0,1.0,0.0,2982.3537,0.0,30706.7609,28572.4497,9.0,9.0,6.0,0.0,1.0,5174.4676,25532.2933,4.934284118427952,82265.1149,73390.60369999999,26,23,8,0,2,23850.6816,58414.4333,2.4491724924121243,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,1,2026-04-30,30,1
ALERT-8D972EF87091,C0019,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-8D53A2F0C9EA,T000638;T000651;T000658;T000666;T000671,ALERT-CONSOLIDATION-1.0,69.0,medium,high_risk_geo_activity,CRR-BEH-1.0,2982.3537,848.0425,2.0,2.0,1.0,0.0,1.0,0.0,2982.3537,0.0,30706.7609,28572.4497,9.0,9.0,6.0,0.0,1.0,5174.4676,25532.2933,4.934284118427952,82265.1149,73390.60369999999,26,23,8,0,2,23850.6816,58414.4333,2.4491724924121243,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,1,2026-04-30,30,1
ALERT-57BB6463105F,C0022,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-EB9530989739,T000750;T000751,ALERT-CONSOLIDATION-1.0,25.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4337.71,3471.07,4.0,4.0,2.0,0.0,1.0,0.0,4337.71,0.0,20674.6153,13717.3953,19,18,8,0,3,8053.1455,12621.4698,1.5672720429551412,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-15,45,0
ALERT-85DE7499E1FF,C0023,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-294C40DCC403,T000777;T000783;T000790,ALERT-CONSOLIDATION-1.0,37.0,low,high_risk_geo_activity,CRR-BEH-1.0,3971.96,3971.96,2.0,2.0,1.0,0.0,0.0,3971.96,0.0,0.0,7922.1183,5063.8817,7.0,6.0,3.0,0.0,1.0,7101.838299999999,820.28,0.11550248898232449,16897.63,14039.3934,16,14,6,0,1,12616.3854,4281.2446,0.3393400299898892,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-09,60,0
