rule_result_id,customer_id,rule_id,rule_version,feature_version,typology_family,segment_id,observation_start,observation_end,rule_reason,rule_severity,customer_eligible,transaction_eligible,triggered,raw_trigger_retained,suppression_applied,suppression_policy_id,alert_generated,suppression_reason,evidence_count,evidence_amount,evidence_transaction_ids,threshold,data_quality_status
RR-EA27A11265A0,C0027,TM-STRUCT-001,TM-RULES-2.0,AML-FEATURES-2.0,threshold_avoidance,merchant_payout,2026-03-24T23:59:59+00:00,2026-03-31T23:59:59+00:00,Potential threshold avoidance,4,True,True,False,False,False,,False,,1,9273.96,T000924,configured_threshold,passed
RR-D1232A9776A6,C0001,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,True,True,False,,True,,4,3660.54,T000023;T000034;T000026;T000038,configured_threshold,passed
RR-77A1951D2292,C0011,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,486.41,T000385,configured_threshold,passed
RR-5D13097AE6C3,C0012,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,2629.9,T000420;T000410,configured_threshold,passed
RR-B8086128E13E,C0013,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,cross_border,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,1113.83,T000444;T000470,configured_threshold,passed
RR-62DA46018FC6,C0015,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,833.67,T000539,configured_threshold,passed
RR-9D3E50063A35,C0018,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,853.89,T000595,configured_threshold,passed
RR-6654E347E9C2,C0019,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,cross_border,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,True,True,False,,True,,5,7896.15,T000671;T000640;T000615;T000658;T000651,configured_threshold,passed
RR-790B566882D6,C0020,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,1807.54,T000686,configured_threshold,passed
RR-8EAC2980ECA1,C0021,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,2106.22,T000712;T000716,configured_threshold,passed
RR-FF3FC0341881,C0022,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,2971.43,T000750;T000754,configured_threshold,passed
RR-CA3B5F82F61F,C0023,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,811.38,T000795;T000790,configured_threshold,passed
RR-6A1A8CA89FD8,C0024,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,531.83,T000817,configured_threshold,passed
RR-0CD15A342480,C0026,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,2653.73,T000849;T000861,configured_threshold,passed
RR-F77C1B6BE9CE,C0027,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,892.89,T000898,configured_threshold,passed
RR-ADA5AEB859CE,C0028,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,cross_border,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,3,5593.72,T000937;T000952;T000951,configured_threshold,passed
RR-30E9477D84A0,C0029,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,1110.15,T000960,configured_threshold,passed
RR-6BCA2CBCC82F,C0031,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,576.14,T001023,configured_threshold,passed
RR-833C07F09E5D,C0032,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,2512.81,T001050;T001076,configured_threshold,passed
RR-E600CB014DA6,C0033,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,3,2183.81,T001093;T001095;T001083,configured_threshold,passed
RR-5C3EA11A3BE3,C0034,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,2846.29,T001115,configured_threshold,passed
RR-8E5DFEA0DF07,C0035,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,cross_border,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,806.07,T001147,configured_threshold,passed
RR-BF5EBF2E749D,C0036,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,648.68,T001196,configured_threshold,passed
RR-C305ECB07C21,C0037,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,cross_border,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,3,1500.2,T001247;T001263;T001231,configured_threshold,passed
RR-3BFFC0F18AEC,C0038,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,1268.05,T001276;T001275,configured_threshold,passed
RR-072D94230FDF,C0040,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,cross_border,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,388.68,T001324,configured_threshold,passed
RR-B67B339C7CB7,C0041,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,4175.49,T001348;T001392,configured_threshold,passed
RR-4582DC523C04,C0042,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,1539.56,T001402;T001401,configured_threshold,passed
RR-E172F362458E,C0044,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,147.22,T001455,configured_threshold,passed
RR-6F6A46EC3381,C0046,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,1851.59,T001553;T001551,configured_threshold,passed
RR-59890B27C763,C0047,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,1456.21,T001572,configured_threshold,passed
RR-A2AC1CA6EFA9,C0050,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,1502.99,T001670,configured_threshold,passed
RR-76CCAD738AAF,C0053,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,627.66,T001737,configured_threshold,passed
RR-742D8172CBA6,C0054,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,merchant_payout,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,4405.84,T001789;T001783,configured_threshold,passed
RR-CF7C73E3AACF,C0055,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,2,1390.52,T001819;T001818,configured_threshold,passed
RR-68AE4AD8E4B0,C0057,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,2419.96,T001889,configured_threshold,passed
RR-831A4A3A0362,C0058,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,consumer_wallet,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,1189.39,T001904,configured_threshold,passed
RR-8A51DA1C8E85,C0059,TM-GEO-001,TM-RULES-2.0,AML-FEATURES-2.0,high_risk_geography,smb_card,2026-03-01T23:59:59+00:00,2026-03-31T23:59:59+00:00,Higher-risk geography exposure,3,True,True,False,False,False,,False,,1,1004.72,T001938,configured_threshold,passed
