alert_id,customer_id,typology_family,observation_end,rule_ids,max_rule_severity,evidence_count,rule_result_ids,evidence_transaction_ids,alert_version,behavioral_crr_score,behavioral_crr_tier,behavioral_reason_codes,crr_version,gross_amount_7d,net_amount_7d,txn_count_7d,unique_counterparties_7d,high_risk_geo_txn_count_7d,round_amount_count_7d,reversal_count_7d,inbound_amount_7d,outbound_amount_7d,flow_through_ratio_7d,gross_amount_30d,net_amount_30d,txn_count_30d,unique_counterparties_30d,high_risk_geo_txn_count_30d,round_amount_count_30d,reversal_count_30d,inbound_amount_30d,outbound_amount_30d,flow_through_ratio_30d,gross_amount_90d,net_amount_90d,txn_count_90d,unique_counterparties_90d,high_risk_geo_txn_count_90d,round_amount_count_90d,reversal_count_90d,inbound_amount_90d,outbound_amount_90d,flow_through_ratio_90d,as_of_timestamp,feature_version,risk_indicator_version,confirmed_suspicious,sar_referral,qa_confirmed,outcome_date,label_maturity_days,label,ml_arr_score,ml_arr_band,ml_model_version,ml_reason_codes
ALERT-9609244BFDAB,C0001,high_risk_geography,2026-03-31T23:59:59+00:00,TM-GEO-001,3,4,RR-D1232A9776A6,T000023;T000026;T000034;T000038,ALERT-CONSOLIDATION-1.0,73.0,medium,activity_above_expected;high_risk_geo_activity,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24278.021399999998,24278.021399999998,9.0,9.0,4.0,0.0,0.0,17232.03,7045.9914,0.40888922547140416,65327.2573,57415.4773,26,25,8,0,2,43285.39,22041.867299999998,0.5092218713981784,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,1,0,0,2026-04-23,45,1,0.9951941861492373,urgent,ML-ARR-LR-1.0,multiple_evidence_items;high_risk_geo_activity
ALERT-22FABEC00DF2,C0001,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-97F8B8EE2A97,T000023;T000026;T000043;T000049;T000055,ALERT-CONSOLIDATION-1.0,73.0,medium,activity_above_expected;high_risk_geo_activity,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24278.021399999998,24278.021399999998,9.0,9.0,4.0,0.0,0.0,17232.03,7045.9914,0.40888922547140416,65327.2573,57415.4773,26,25,8,0,2,43285.39,22041.867299999998,0.5092218713981784,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,1,0,0,2026-04-23,45,1,0.9461412391568904,urgent,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items;high_risk_geo_activity
ALERT-FFD6CD81FA2B,C0006,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-4B72C555C4D7,T000232;T000236,ALERT-CONSOLIDATION-1.0,25.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1944.62,1944.62,2.0,2.0,0.0,0.0,0.0,1330.29,614.33,0.46180156206541434,9314.2526,9314.2526,10,10,1,0,0,3766.76,5547.4926,1.4727491531183297,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-19,30,0,0.07907639339575798,standard,ML-ARR-LR-1.0,severe_rule
ALERT-4886AC87D47D,C0009,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-6B5CE51EC5D4,T000312;T000315;T000320,ALERT-CONSOLIDATION-1.0,37.0,low,no_behavioral_elevation,CRR-BEH-1.0,1373.32,1373.32,1.0,1.0,0.0,0.0,0.0,1373.32,0.0,0.0,6412.54,6412.54,3.0,3.0,0.0,0.0,0.0,6412.54,0.0,0.0,18586.6948,16928.7148,9,9,1,0,1,10244.0,8342.694800000001,0.8143981647793832,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-26,60,0,0.24256700038033938,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-866EA3B112C3,C0013,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-ED36FCE040BC,T000444;T000470;T000473,ALERT-CONSOLIDATION-1.0,37.0,low,no_behavioral_elevation,CRR-BEH-1.0,137.17,137.17,1.0,1.0,0.0,0.0,0.0,137.17,0.0,0.0,3830.02,3830.02,5.0,5.0,2.0,0.0,0.0,2155.06,1674.96,0.7772219798984715,11125.2518,8424.5318,12,12,2,0,1,3514.794,7610.4578,2.1652642516175913,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-11,60,0,0.20888346339502292,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-01D4A422427B,C0015,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-C017D84758A3,T000516;T000523;T000539,ALERT-CONSOLIDATION-1.0,15.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3067.2486,3067.2486,4.0,4.0,1.0,0.0,0.0,0.0,3067.2486,0.0,11423.7426,11070.3026,12,11,4,0,1,5384.054,6039.6885999999995,1.1217734071760794,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-15,45,0,0.13523933157826906,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-F1DE418B25EE,C0021,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-BFB905C1A5C6,T000712;T000716;T000719;T000736,ALERT-CONSOLIDATION-1.0,49.0,medium,activity_above_expected,CRR-BEH-1.0,2106.2200000000003,2106.2200000000003,2.0,2.0,2.0,0.0,0.0,909.94,1196.28,1.3146800887970633,8331.0902,8331.0902,5.0,5.0,2.0,0.0,0.0,7134.8102,1196.28,0.1676680901756854,24087.1002,24087.1002,15,15,5,0,0,17492.7502,6594.35,0.37697617153419366,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-16,45,0,0.5283850007958943,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items;rapid_flow_through
ALERT-40F6A967AF34,C0028,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-1F420DE07C87,T000929;T000931;T000937;T000952,ALERT-CONSOLIDATION-1.0,37.0,low,high_risk_geo_activity,CRR-BEH-1.0,3078.8704,3078.8704,3.0,3.0,2.0,0.0,0.0,1032.01,2046.8604,1.9833726417379678,7476.001200000001,7476.001200000001,5.0,5.0,3.0,0.0,0.0,4578.866,2897.1351999999997,0.6327189308444492,21367.2616,21367.2616,15,15,4,0,0,7947.576400000001,13419.6852,1.688525472998284,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-29,60,0,0.4782530273971013,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items;high_risk_geo_activity;rapid_flow_through
ALERT-CDB18FF482E5,C0033,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-985C20B07330,T001095;T001097;T001099;T001104,ALERT-CONSOLIDATION-1.0,39.0,low,high_risk_geo_activity,CRR-BEH-1.0,2910.18,-1351.1,2.0,2.0,0.0,0.0,1.0,0.0,2910.18,0.0,10826.247,6564.967000000001,8.0,8.0,3.0,0.0,1.0,2434.59,8391.657,3.4468460808596104,25167.7474,20906.4674,20,18,6,0,1,8474.092700000001,16693.6547,1.9699636634845872,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-10,45,0,0.5315450145415072,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items;high_risk_geo_activity
ALERT-7CA855002AAD,C0040,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-2041899EDB15,T001317;T001335;T001336;T001339,ALERT-CONSOLIDATION-1.0,15.0,low,no_behavioral_elevation,CRR-BEH-1.0,763.33,763.33,1.0,1.0,0.0,0.0,0.0,0.0,763.33,0.0,5558.177000000001,2965.377,6.0,6.0,2.0,0.0,1.0,4406.167,1152.01,0.2614540029917159,13238.8912,9219.0312,13,12,4,0,2,7570.971200000001,5667.92,0.748638430958501,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-03,45,0,0.2836641758406266,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-2804FA28E781,C0043,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-3A961B0116A0,T001434;T001437;T001442,ALERT-CONSOLIDATION-1.0,65.0,medium,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5026.1022,5026.1022,4.0,4.0,0.0,0.0,0.0,0.0,5026.1022,0.0,12407.4918,10449.2446,11,11,2,0,1,2995.526,9411.9658,3.142007714171067,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-21,45,0,0.3128026150874468,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-C9D87926A732,C0044,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-3569A5EC9E6C,T001468;T001488,ALERT-CONSOLIDATION-1.0,81.0,high,no_behavioral_elevation,CRR-BEH-1.0,2205.26,-2205.26,1.0,1.0,0.0,0.0,1.0,0.0,2205.26,0.0,6610.588,2200.0679999999998,4.0,4.0,1.0,0.0,1.0,2546.91,4063.6780000000003,1.5955326258093143,19303.4703,14014.3503,13,12,4,0,2,7962.24,11341.2303,1.4243768462141306,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-03,45,0,0.2905086301395719,standard,ML-ARR-LR-1.0,high_crr;severe_rule
ALERT-2187514855C8,C0046,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-A7C1A7F67A75,T001541;T001549;T001551;T001558,ALERT-CONSOLIDATION-1.0,45.0,medium,no_behavioral_elevation,CRR-BEH-1.0,2122.74,2122.74,3.0,3.0,2.0,0.0,0.0,271.15,1851.59,5.0,6132.6,6132.6,6.0,6.0,2.0,0.0,0.0,4281.01,1851.59,0.432512421134265,18063.792,18063.792,16,16,5,0,0,11441.452,6622.34,0.5788024107429722,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-04,60,0,0.538099249777978,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items;rapid_flow_through
ALERT-E7402D4177CA,C0047,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-0099573C9435,T001572;T001574;T001579,ALERT-CONSOLIDATION-1.0,39.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4469.3908,4469.3908,5.0,5.0,1.0,0.0,0.0,2155.6908000000003,2313.7,1.0732986381905973,6985.6008,6985.6008,10,10,3,0,0,4671.900799999999,2313.7,0.49523739887627755,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-05,45,0,0.2191635446388247,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-AF989A191F42,C0048,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,3,RR-7599CA12B58F,T001595;T001623;T001626,ALERT-CONSOLIDATION-1.0,61.0,medium,activity_above_expected,CRR-BEH-1.0,6828.017,6828.017,1.0,1.0,0.0,0.0,0.0,6828.017,0.0,0.0,20601.6606,18202.0206,7.0,7.0,1.0,0.0,1.0,10677.313,9924.3476,0.9294798794415785,75443.8248,73044.1848,19,18,2,0,1,49988.1264,25455.698399999997,0.5092348970294673,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,1,0,1,2026-04-29,60,1,0.7089483197922439,urgent,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-022F8E8B5F4E,C0055,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-5FE119BDAD34,T001810;T001819,ALERT-CONSOLIDATION-1.0,39.0,low,high_risk_geo_activity,CRR-BEH-1.0,506.8852,506.8852,1.0,1.0,1.0,0.0,0.0,0.0,506.8852,0.0,3382.0552000000002,-314.12479999999977,4.0,4.0,3.0,0.0,1.0,2875.17,506.8852,0.17629747110605634,17001.0452,13304.8652,10,10,5,0,1,6762.26,10238.7852,1.5141069997308592,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-18,30,0,0.12880015745528528,standard,ML-ARR-LR-1.0,severe_rule;high_risk_geo_activity
ALERT-3E0ECF182412,C0058,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-5C712C492FA0,T001901;T001904;T001921;T001922;T001924,ALERT-CONSOLIDATION-1.0,69.0,medium,no_behavioral_elevation,CRR-BEH-1.0,1345.2600000000002,1345.2600000000002,2.0,2.0,0.0,0.0,0.0,1345.2600000000002,0.0,0.0,4093.3726000000006,4093.3726000000006,6.0,6.0,1.0,0.0,0.0,2563.59,1529.7826,0.5967345012267952,16182.0326,16182.0326,15,15,4,0,0,11376.69,4805.3426,0.4223849467639533,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-28,60,0,0.610857968439033,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-299408AB06AA,C0062,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-47DC7F8CB338,T001992;T002009,ALERT-CONSOLIDATION-1.0,59.0,medium,no_behavioral_elevation,CRR-BEH-1.0,331.39,331.39,1.0,1.0,0.0,0.0,0.0,0.0,331.39,0.0,3006.9,3006.9,2.0,2.0,0.0,0.0,0.0,0.0,3006.9,0.0,15872.4411,6566.7411,10,10,1,0,2,4428.05,11444.3911,2.5845216517428664,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-14,45,0,0.1509031135488346,standard,ML-ARR-LR-1.0,severe_rule
ALERT-7338E3E93DE7,C0064,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-0ED00F2B193A,T002080;T002091,ALERT-CONSOLIDATION-1.0,29.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4117.946,4117.946,4.0,4.0,0.0,0.0,0.0,3094.1659999999997,1023.78,0.3308742969834198,13318.252499999999,13318.252499999999,13,13,2,0,0,10360.9925,2957.26,0.2854224631472323,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-24,45,0,0.10477768205317525,standard,ML-ARR-LR-1.0,severe_rule
ALERT-B05D0985BF35,C0066,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-BCB69D5CE67A,T002157;T002159;T002166;T002169,ALERT-CONSOLIDATION-1.0,55.0,medium,no_behavioral_elevation,CRR-BEH-1.0,1147.01,1147.01,1.0,1.0,0.0,0.0,0.0,1147.01,0.0,0.0,6537.530000000001,3585.63,5.0,5.0,0.0,0.0,1.0,4061.7,2475.83,0.6095551123913633,10693.578000000001,7158.638000000001,9,8,1,0,2,4061.7,6631.878000000001,1.6327838097348404,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-19,45,0,0.45270582027597406,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-4904270DB6BF,C0073,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-241A6687D90C,T002321;T002325;T002339;T002343,ALERT-CONSOLIDATION-1.0,27.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4919.6558,4919.6558,5.0,5.0,1.0,0.0,0.0,2254.6099999999997,2665.0458,1.182042925383991,13407.7698,13407.7698,12,12,5,0,0,8046.1636,5361.6062,0.6663556033088863,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-02,45,0,0.30463607883324517,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-8F1C1F5A001F,C0077,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-377B2043C08C,T002473;T002487,ALERT-CONSOLIDATION-1.0,27.0,low,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3875.7316,3875.7316,3.0,3.0,0.0,0.0,0.0,745.28,3130.4516,4.200369793902962,13348.5227,13348.5227,12,12,3,0,0,5641.58,7706.9427000000005,1.3660965013347326,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-24,45,0,0.09906215809419505,standard,ML-ARR-LR-1.0,severe_rule
ALERT-2BD75F28D063,C0081,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-46F0FB4966E4,T002573;T002577,ALERT-CONSOLIDATION-1.0,27.0,low,no_behavioral_elevation,CRR-BEH-1.0,649.78,649.78,1.0,1.0,1.0,0.0,0.0,649.78,0.0,0.0,1959.18,1959.18,2.0,2.0,2.0,0.0,0.0,1959.18,0.0,0.0,9512.4182,7362.2982,8,7,4,0,1,8293.78,1218.6381999999999,0.14693399149724248,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-15,30,0,0.08884471167240678,standard,ML-ARR-LR-1.0,severe_rule
ALERT-2485890046BE,C0090,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-4BED34AD1729,T002790;T002810;T002813;T002828,ALERT-CONSOLIDATION-1.0,53.0,medium,high_risk_geo_activity,CRR-BEH-1.0,936.3837,-936.3837,1.0,1.0,1.0,0.0,1.0,0.0,936.3837,0.0,6494.7636999999995,4621.9963,6.0,5.0,3.0,0.0,1.0,2811.18,3683.5837,1.3103336321402401,24504.862399999998,19033.015,24,19,9,0,4,12720.16,11784.7024,0.9264586608973472,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,1,1,0,2026-04-18,60,1,0.4760222977245709,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items;high_risk_geo_activity
ALERT-721FCF09D545,C0097,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,4,RR-A171D06A11DE,T003052;T003053;T003064;T003068,ALERT-CONSOLIDATION-1.0,15.0,low,no_behavioral_elevation,CRR-BEH-1.0,769.86,769.86,1.0,1.0,1.0,0.0,0.0,769.86,0.0,0.0,5391.6422,5391.6422,5.0,5.0,2.0,0.0,0.0,1681.96,3709.6822,2.2055710004994173,20654.1438,16570.1638,17,17,6,0,1,5525.1900000000005,15128.9538,2.7381780174075456,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-23,45,0,0.2799757348560365,standard,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-8CBABEA38901,C0100,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-1D39C81113D9,T003150;T003153,ALERT-CONSOLIDATION-1.0,45.0,medium,activity_above_expected,CRR-BEH-1.0,1377.29,-433.73,2.0,2.0,1.0,0.0,1.0,1377.29,0.0,0.0,15318.664,8916.064,10.0,9.0,2.0,0.0,2.0,11350.494,3968.17,0.3496032859891384,18481.204,10462.364000000001,13,12,4,0,3,13704.914,4776.290000000001,0.34850930111637335,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-05-06,45,0,0.3676470147249168,elevated,ML-ARR-LR-1.0,severe_rule
ALERT-66F5C902DD53,C0102,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,5,RR-FCE3FB767257,T003196;T003202;T003216;T003223;T003224,ALERT-CONSOLIDATION-1.0,15.0,low,no_behavioral_elevation,CRR-BEH-1.0,1368.29,1368.29,1.0,1.0,0.0,0.0,0.0,0.0,1368.29,0.0,5351.8108,3346.9880000000003,7.0,7.0,2.0,0.0,1.0,2255.2794,3096.5314,1.373014536469406,23093.7415,18234.9787,17,17,2,0,3,12394.371299999999,10699.370200000001,0.8632442857347675,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-24,60,0,0.4164722696261958,elevated,ML-ARR-LR-1.0,severe_rule;multiple_evidence_items
ALERT-53452709C242,C0110,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-4525C4AB4483,T003490;T003505,ALERT-CONSOLIDATION-1.0,51.0,medium,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7517.477199999999,7517.477199999999,5.0,5.0,1.0,0.0,0.0,5532.8268,1984.6504,0.3587045956327424,58364.0019,58364.0019,29,24,9,0,0,21829.5356,36534.4663,1.6736254480832842,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,1,0,0,2026-04-19,45,1,0.208671492345937,standard,ML-ARR-LR-1.0,severe_rule
ALERT-AA8910049FC1,C0117,network,2026-03-31T23:59:59+00:00,TM-NET-001,4,2,RR-691A9E8A2846,T003703;T003709,ALERT-CONSOLIDATION-1.0,55.0,medium,no_behavioral_elevation,CRR-BEH-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4002.57,3300.59,3.0,3.0,2.0,0.0,1.0,2680.7700000000004,1321.8,0.4930672903680658,9906.29,7344.21,9,9,3,0,2,3610.82,6295.47,1.743501476118998,2026-03-31T23:59:59+00:00,AML-FEATURES-2.1,1.0,0,0,0,2026-04-18,45,0,0.1678574869008397,standard,ML-ARR-LR-1.0,severe_rule
